NAICS,SIC
621610,8082
621492,8092
621399,8093
621410,8093
621420,8093
621498,8093
541430,8099
541922,8099
621410,8099
621991,8099
621999,8099
541110,8111
611110,8211
611310,8221
611210,8222
519120,8231
611420,8243
611519,8243
611410,8244
611512,8249
611513,8249
611519,8249
611430,8299
611512,8299
611519,8299
611610,8299
611620,8299
611630,8299
611691,8299
611692,8299
611699,8299
611710,8299
624110,8322
624120,8322
624190,8322
624210,8322
624221,8322
624229,8322
624230,8322
922150,8322
624310,8331
624410,8351
623210,8361
623220,8361
623312,8361
623990,8361
813212,8399
813219,8399
813311,8399
813312,8399
813319,8399
712110,8412
712120,8412
712130,8422
712190,8422
813910,8611
813920,8621
813930,8631
813319,8641
813410,8641
813990,8641
921150,8641
813940,8651
813110,8661
561599,8699
813312,8699
813410,8699
813910,8699
813990,8699
541330,8711
541310,8712
541360,8713
541370,8713
541211,8721
541214,8721
541219,8721
541713,8731
541714,8731
541715,8731
541720,8732
541910,8732
541713,8733
541714,8733
541715,8733
541720,8733
541380,8734
541940,8734
236115,8741
236116,8741
236118,8741
236210,8741
236220,8741
237110,8741
237120,8741
237130,8741
237310,8741
237990,8741
561110,8741
541611,8742
541612,8742
541613,8742
541614,8742
561312,8742
541820,8743
561210,8744
541320,8748
541330,8748
541618,8748
541690,8748
611710,8748
814110,8811
512230,8999
512250,8999
519130,8999
519130,8999
541612,8999
541620,8999
541690,8999
541990,8999
561312,8999
711510,8999
921110,9111
921120,9121
921140,9131
921190,9199
922110,9211
922120,9221
922130,9222
922140,9223
922160,9224
922190,9229
921130,9311
923110,9411
923120,9431
923130,9441
923140,9451
924110,9511
924120,9512
925110,9531
925120,9532
926110,9611
488111,9621
926120,9621
926130,9631
926140,9641
926150,9651
927110,9661
928110,9711
928120,9721
112130,Aux
541120,Aux
551114,Aux
